5.381E+0	5.732E+0	6.208E+0	6.727E+0	6.961E+0	6.748E+0	6.847E+0	6.588E+0	6.595E+0	6.538E+0	6.493E+0	6.231E+0	6.052E+0	6.059E+0	6.249E+0	6.248E+0	6.090E+0	5.256E+0	4.620E+0	4.666E+0
5.773E+0	5.932E+0	6.311E+0	6.807E+0	6.422E+0	6.196E+0	6.447E+0	6.562E+0	6.375E+0	6.085E+0	5.989E+0	5.764E+0	5.550E+0	5.850E+0	6.135E+0	6.121E+0	5.449E+0	5.180E+0	5.429E+0	5.267E+0
5.678E+0	5.585E+0	5.553E+0	6.087E+0	5.688E+0	5.664E+0	5.859E+0	5.775E+0	5.933E+0	5.852E+0	5.694E+0	5.471E+0	5.720E+0	5.603E+0	5.360E+0	5.339E+0	5.372E+0	5.403E+0	5.761E+0	5.687E+0
5.793E+0	5.697E+0	5.645E+0	5.946E+0	5.867E+0	5.993E+0	6.123E+0	6.341E+0	6.419E+0	6.048E+0	5.577E+0	5.347E+0	5.811E+0	5.927E+0	5.691E+0	5.630E+0	6.060E+0	6.055E+0	5.888E+0	5.917E+0
6.353E+0	6.489E+0	6.229E+0	6.048E+0	5.796E+0	6.114E+0	6.535E+0	6.222E+0	6.003E+0	5.762E+0	5.709E+0	5.760E+0	5.928E+0	5.893E+0	5.760E+0	5.417E+0	5.427E+0	5.395E+0	5.365E+0	5.322E+0
6.196E+0	5.938E+0	5.968E+0	5.946E+0	5.868E+0	6.122E+0	6.433E+0	6.448E+0	6.134E+0	6.112E+0	6.056E+0	6.113E+0	6.285E+0	6.074E+0	5.672E+0	5.221E+0	4.717E+0	5.060E+0	4.922E+0	5.135E+0
5.470E+0	5.580E+0	5.595E+0	5.918E+0	5.872E+0	5.759E+0	5.868E+0	5.862E+0	5.956E+0	5.996E+0	5.924E+0	5.868E+0	5.803E+0	5.334E+0	5.363E+0	5.486E+0	5.437E+0	4.993E+0	4.268E+0	4.518E+0
5.732E+0	5.634E+0	5.520E+0	5.553E+0	5.488E+0	5.105E+0	5.535E+0	5.824E+0	5.964E+0	6.265E+0	6.046E+0	5.709E+0	5.258E+0	4.949E+0	4.919E+0	5.155E+0	5.338E+0	4.487E+0	4.223E+0	4.613E+0
6.037E+0	6.000E+0	5.732E+0	5.879E+0	5.576E+0	5.255E+0	5.361E+0	5.653E+0	6.064E+0	6.325E+0	6.127E+0	5.510E+0	5.259E+0	5.036E+0	5.020E+0	4.798E+0	4.525E+0	4.262E+0	4.295E+0	4.797E+0
5.990E+0	5.988E+0	5.741E+0	5.618E+0	5.613E+0	5.600E+0	5.635E+0	5.808E+0	5.610E+0	5.209E+0	5.272E+0	5.644E+0	5.549E+0	5.253E+0	4.721E+0	4.032E+0	3.645E+0	3.810E+0	4.033E+0	4.268E+0
