-2.220E-2	-1.037E-1	-1.430E-1	-1.128E-1	2.157E-1	2.255E-1	-4.330E-2	-9.199E-2	-1.332E-1	-9.914E-2	-1.303E-1	-1.417E-1	-1.384E-1	-9.914E-2	-1.024E-1	-1.212E-1	-1.254E-1	-8.713E-2	-7.576E-2	-8.907E-2	-9.816E-2	-1.173E-1	-2.740E-2	-2.415E-2	-7.775E-4	-6.440E-2	-8.615E-2	-7.674E-2	-1.011E-1	-1.086E-1	-7.739E-2	-1.409E-2	-4.265E-2	-1.108E-1	-9.524E-2	-7.739E-2	-2.118E-1	-1.884E-1	-7.641E-2	-1.115E-1	-1.482E-1	-8.226E-2	-8.161E-2	-1.524E-1	-8.810E-2	-5.207E-2	-1.462E-1	-1.650E-1	-9.394E-2	-8.940E-2
-1.047E-1	-1.251E-1	-1.170E-1	-1.668E-2	2.097E-2	-3.713E-2	-4.557E-2	-4.979E-2	1.058E-2	-4.363E-2	-5.174E-2	-3.259E-2	-7.252E-2	-1.546E-1	-1.245E-1	-1.241E-1	-9.135E-2	-6.343E-2	-8.453E-2	-8.226E-2	-2.660E-1	-1.985E-1	-9.979E-2	-8.972E-2	-1.056E-1	-1.215E-1	-9.881E-2	-1.047E-1	-6.603E-2	-5.322E-3	-2.740E-2	-1.149E-2	-1.019E-2	-7.479E-2	-1.196E-1	-9.784E-2	-7.901E-2	-9.557E-2	-5.077E-2	-2.577E-2	-2.999E-2	-1.141E-1	-1.228E-1	-4.233E-2	-9.362E-2	-7.836E-2	-7.057E-2	-4.330E-2	-4.720E-2	-7.544E-2
-6.408E-2	-1.160E-1	-1.381E-1	-1.232E-1	-1.702E-1	-1.202E-1	-4.622E-2	-5.142E-2	-8.244E-3	-1.180E-1	-1.738E-1	-1.248E-1	-1.086E-1	-9.557E-2	-4.038E-2	-8.355E-2	-1.167E-1	-7.252E-2	-9.005E-2	-2.934E-2	-1.149E-2	-1.128E-1	-9.719E-2	-7.998E-2	-5.239E-2	-4.752E-2	-9.070E-2	-3.519E-2	-9.362E-2	-9.070E-2	-8.518E-2	-8.907E-2	-3.584E-2	-7.933E-2	-5.272E-2	-4.330E-2	-8.128E-2	-1.271E-1	-1.615E-1	-7.414E-2	-5.564E-2	-6.343E-2	-1.863E-2	-1.149E-2	-1.798E-2	-3.973E-2	-7.187E-2	-3.551E-2	-3.324E-2	-5.369E-2
-3.908E-2	-7.544E-2	-1.413E-1	-1.589E-1	-5.012E-2	3.443E-3	-4.850E-2	-2.545E-2	-9.946E-2	-1.219E-1	-1.235E-1	-9.589E-2	-9.557E-2	-1.254E-1	-1.436E-1	-1.309E-1	-1.316E-1	-1.014E-1	-3.681E-2	-3.227E-2	-4.493E-2	-5.239E-2	-6.051E-2	-9.524E-2	-1.506E-2	-6.895E-2	-7.609E-2	-1.232E-1	-9.492E-2	-1.235E-1	-2.058E-2	-3.324E-2	-1.831E-2	-1.167E-1	-1.667E-1	-1.287E-1	-5.499E-2	-5.012E-2	-6.181E-2	-9.297E-2	-3.486E-2	-7.511E-2	-1.105E-1	-1.167E-1	-8.388E-2	-6.538E-2	-6.181E-2	-5.369E-2	-7.317E-2	-5.304E-2
-1.017E-1	-6.667E-2	-4.785E-2	-6.343E-2	-1.024E-1	-8.842E-2	-4.850E-2	-8.161E-2	-6.538E-2	-9.102E-2	-7.122E-2	-3.486E-2	-6.992E-2	-1.238E-1	-1.150E-1	-1.027E-1	-7.804E-2	-6.732E-2	-7.317E-2	-1.478E-1	-8.972E-2	-8.940E-2	-1.287E-1	-1.709E-1	-9.394E-2	-7.609E-2	-9.037E-2	-1.063E-1	-1.011E-1	-9.719E-2	-7.966E-2	-7.252E-2	-7.025E-2	-9.264E-2	-7.187E-2	-5.369E-2	-7.187E-2	-1.053E-1	-9.037E-2	-1.254E-1	-1.196E-1	-1.017E-1	-1.034E-1	-4.460E-2	-9.005E-2	-1.040E-1	-1.056E-1	-8.940E-2	-1.506E-2	-5.499E-2
-1.017E-1	-4.979E-2	-4.265E-2	-4.557E-2	-7.804E-2	-7.317E-2	-3.194E-2	-1.137E-1	-1.397E-1	-1.105E-1	-5.499E-2	-6.116E-2	-1.384E-1	-1.397E-1	-1.043E-1	-8.810E-2	-8.193E-2	-1.040E-1	-6.148E-2	-5.109E-2	-7.284E-2	-7.836E-2	-3.097E-2	-6.732E-2	-8.875E-2	-5.986E-2	-9.524E-2	-1.235E-1	-1.105E-1	-1.539E-2	-2.447E-2	-1.144E-1	-1.566E-1	-1.501E-1	-3.908E-2	-4.363E-2	-9.199E-2	-8.031E-2	-2.285E-2	2.097E-2	-4.348E-3	-8.875E-2	-6.927E-2	-1.311E-2	-5.077E-2	-1.150E-1	-7.025E-2	-7.089E-2	-5.499E-2	-1.228E-1
-1.199E-1	-9.557E-2	-1.076E-1	-8.550E-2	-9.232E-2	-8.226E-2	-1.131E-1	-1.433E-1	-1.186E-1	-8.063E-2	-1.615E-1	-1.319E-1	-8.128E-2	-6.181E-2	-4.428E-2	-6.635E-2	-9.751E-2	-1.115E-1	4.416E-3	-7.511E-2	-9.297E-2	-1.371E-1	-1.235E-1	-1.011E-1	-1.047E-1	-1.150E-1	-7.511E-2	-1.163E-1	-1.121E-1	-9.621E-2	-3.032E-2	1.778E-1	-3.699E-3	-9.686E-2	-5.401E-2	-7.284E-2	-4.298E-2	-2.318E-2	-4.395E-2	-7.154E-2	-7.576E-2	-1.993E-2	-6.621E-3	-5.109E-2	2.292E-2	-8.128E-2	-1.852E-1	-1.517E-1	-1.079E-1	-1.076E-1
-1.474E-2	-6.051E-2	-1.248E-1	-2.105E-1	-1.027E-1	-8.258E-2	-1.498E-1	-9.881E-2	-4.850E-2	-7.544E-2	-1.332E-1	-1.313E-1	-1.040E-1	-9.102E-2	-1.056E-1	-1.069E-1	-1.105E-1	-1.008E-1	-1.397E-1	-9.849E-2	-9.557E-2	-7.933E-2	-1.079E-1	-8.615E-2	-1.300E-1	-1.280E-1	-1.186E-1	-7.187E-2	-5.077E-2	1.469E-1	5.636E-2	-1.319E-1	-1.121E-1	-6.765E-2	-3.681E-2	-2.383E-2	-1.141E-1	-8.355E-2	-1.076E-1	-9.394E-2	-7.154E-2	-7.349E-2	-9.037E-2	-8.258E-2	-9.979E-2	-6.116E-2	-5.012E-2	-3.454E-2	-6.960E-2	-6.375E-2
-8.096E-2	-1.733E-2	7.129E-2	-1.004E-1	-1.232E-1	-1.098E-1	-1.206E-1	-1.160E-1	-9.394E-2	-1.108E-1	-1.413E-1	-1.095E-1	-1.047E-1	-1.076E-1	-1.206E-1	-1.086E-1	-1.504E-1	-1.238E-1	-1.079E-1	-4.168E-2	-9.524E-2	-7.901E-2	-1.050E-1	-9.589E-2	-5.499E-2	-7.869E-2	-1.279E-2	-1.441E-2	-4.428E-2	-8.680E-2	-1.069E-1	-7.869E-2	-9.394E-2	-4.882E-2	-9.881E-2	-1.219E-1	-1.157E-1	-7.609E-2	-8.226E-2	-3.486E-2	-2.545E-2	-8.226E-2	-1.157E-1	-1.524E-1	-1.245E-1	-5.531E-2	-7.641E-2	-5.077E-2	-6.830E-2	-4.882E-2
-1.095E-1	-1.504E-1	-1.189E-1	-1.176E-1	-9.686E-2	-1.124E-1	-9.167E-2	-1.047E-1	-1.170E-1	-7.349E-2	-2.318E-2	-4.785E-2	-9.459E-2	-8.226E-2	-4.493E-2	-1.300E-1	-1.514E-1	-9.135E-2	-6.992E-2	-7.025E-2	-6.927E-2	-8.875E-2	-1.206E-1	-1.297E-1	-1.387E-1	-1.040E-1	-8.291E-2	-1.831E-2	-1.993E-2	-1.115E-1	-1.102E-1	-3.973E-2	-4.460E-2	-2.350E-2	-5.647E-3	-6.310E-2	-9.719E-2	-1.293E-1	-1.530E-1	-8.518E-2	-3.876E-2	-8.063E-2	-1.199E-1	-4.168E-2	1.964E-4	-4.752E-2	-5.434E-2	-6.603E-2	-7.187E-2	-1.121E-1
